bootstrap_iteration,statistic,p_value,significant,comparison
211,0.0010515204094989023,0.9741786019823043,False,Pre vs Post Inauguration
212,2.4658247638233117,0.1186533721633152,False,Pre vs Post Inauguration
213,0.013143813712891611,0.9088931973329145,False,Pre vs Post Inauguration
214,0.021394352741449,0.8839247653435236,False,Pre vs Post Inauguration
215,0.1493731596082035,0.6997347221307391,False,Pre vs Post Inauguration
216,0.5846720375139535,0.4458019079998786,False,Pre vs Post Inauguration
217,0.07551145851804335,0.7838888671727161,False,Pre vs Post Inauguration
218,1.5469118029789761,0.21571588785857387,False,Pre vs Post Inauguration
219,2.3169820828102963,0.1302729311714271,False,Pre vs Post Inauguration
220,0.027588324403214678,0.8683252261776397,False,Pre vs Post Inauguration
221,0.005603209701903995,0.9404395976352113,False,Pre vs Post Inauguration
222,1.6352458826122265,0.2031409262409672,False,Pre vs Post Inauguration
223,2.2456705859823645,0.1362895019526632,False,Pre vs Post Inauguration
224,0.17189898051900362,0.6790780923377372,False,Pre vs Post Inauguration
225,0.46769936957448954,0.49520259419609325,False,Pre vs Post Inauguration
226,0.4915093888765115,0.4844438692248014,False,Pre vs Post Inauguration
227,4.886284265249525e-06,0.9982394978142469,False,Pre vs Post Inauguration
228,0.268790219219552,0.6049808082644803,False,Pre vs Post Inauguration
229,0.4507112202336561,0.503127803884464,False,Pre vs Post Inauguration
230,0.33121512719204865,0.565888534290328,False,Pre vs Post Inauguration
231,1.7642182630403471,0.1863077090555799,False,Pre vs Post Inauguration
232,0.20762231736715508,0.6493588109679234,False,Pre vs Post Inauguration
233,2.9113551310728387,0.09022379627386035,False,Pre vs Post Inauguration
234,0.2302633771851381,0.6320938231572124,False,Pre vs Post Inauguration
235,0.29094939960168437,0.5904883355690347,False,Pre vs Post Inauguration
236,0.33664175547483954,0.5627271782786417,False,Pre vs Post Inauguration
237,0.4940236235879564,0.4833305678688157,False,Pre vs Post Inauguration
238,0.34392253514008414,0.5585388053036775,False,Pre vs Post Inauguration
239,1.2934116245439338,0.25740537147113857,False,Pre vs Post Inauguration
