bootstrap_iteration,u_statistic,p_value,significant,comparison
301,2397.5,4.451542869358383e-09,True,Pre-Inauguration vs Entire Period
302,2832.0,1.5601554506925374e-06,True,Pre-Inauguration vs Entire Period
303,2645.0,1.433464936106757e-07,True,Pre-Inauguration vs Entire Period
304,2598.5,7.66781691851467e-08,True,Pre-Inauguration vs Entire Period
305,3000.5,1.1282206843329922e-05,True,Pre-Inauguration vs Entire Period
306,2472.0,1.313710296373105e-08,True,Pre-Inauguration vs Entire Period
307,3104.0,3.5071017436208554e-05,True,Pre-Inauguration vs Entire Period
308,2208.5,2.4624292897284454e-10,True,Pre-Inauguration vs Entire Period
309,2655.5,1.647577802404527e-07,True,Pre-Inauguration vs Entire Period
310,2777.0,7.895686534540618e-07,True,Pre-Inauguration vs Entire Period
311,2810.0,1.1902212358514548e-06,True,Pre-Inauguration vs Entire Period
312,3065.0,2.303902606151313e-05,True,Pre-Inauguration vs Entire Period
313,3004.5,1.1797003712896953e-05,True,Pre-Inauguration vs Entire Period
314,2414.0,5.668348178668418e-09,True,Pre-Inauguration vs Entire Period
315,2711.5,3.4273915672408063e-07,True,Pre-Inauguration vs Entire Period
316,2706.0,3.193036755415953e-07,True,Pre-Inauguration vs Entire Period
317,2691.5,2.643378781130792e-07,True,Pre-Inauguration vs Entire Period
318,3059.5,2.1696696029702038e-05,True,Pre-Inauguration vs Entire Period
319,3168.0,6.856727183555248e-05,True,Pre-Inauguration vs Entire Period
320,2143.0,8.624965269436728e-11,True,Pre-Inauguration vs Entire Period
321,2798.0,1.0258313437154706e-06,True,Pre-Inauguration vs Entire Period
322,2153.0,1.013270480365851e-10,True,Pre-Inauguration vs Entire Period
323,2563.0,4.717915710296946e-08,True,Pre-Inauguration vs Entire Period
324,2253.0,4.962381725698558e-10,True,Pre-Inauguration vs Entire Period
325,2211.0,2.5641680699312045e-10,True,Pre-Inauguration vs Entire Period
326,2453.5,1.0063945689959196e-08,True,Pre-Inauguration vs Entire Period
327,2753.5,5.871198576185537e-07,True,Pre-Inauguration vs Entire Period
328,2754.0,5.907771760776818e-07,True,Pre-Inauguration vs Entire Period
329,2305.5,1.116740392292289e-09,True,Pre-Inauguration vs Entire Period
330,2807.0,1.1471324706641037e-06,True,Pre-Inauguration vs Entire Period
331,3103.5,3.485642686220002e-05,True,Pre-Inauguration vs Entire Period
332,2499.0,1.9294808982079797e-08,True,Pre-Inauguration vs Entire Period
333,2418.5,6.0595309057267405e-09,True,Pre-Inauguration vs Entire Period
334,2741.5,5.041297328299823e-07,True,Pre-Inauguration vs Entire Period
335,2991.5,1.0191798716322054e-05,True,Pre-Inauguration vs Entire Period
336,2609.0,8.846235299582916e-08,True,Pre-Inauguration vs Entire Period
337,2887.0,3.029932241478993e-06,True,Pre-Inauguration vs Entire Period
