bootstrap_iteration,d_statistic,p_value,significant,comparison
195,0.8554865424430642,2.2299136153707975e-26,True,Pre vs Post Inauguration
196,0.8703933747412008,1.2979863739311527e-27,True,Pre vs Post Inauguration
197,0.8993788819875776,3.828419385099035e-30,True,Pre vs Post Inauguration
198,0.8561076604554866,1.4522960304581176e-26,True,Pre vs Post Inauguration
199,0.8559006211180125,1.8511740697623913e-26,True,Pre vs Post Inauguration
200,0.8850931677018633,4.9588402506983547e-29,True,Pre vs Post Inauguration
201,0.8989648033126294,6.735800823411751e-30,True,Pre vs Post Inauguration
202,0.7975155279503106,2.489625024726826e-22,True,Pre vs Post Inauguration
203,0.8993788819875776,3.828419385099035e-30,True,Pre vs Post Inauguration
204,0.8710144927536232,3.0449731407896227e-28,True,Pre vs Post Inauguration
205,0.8703933747412008,1.2979863739311527e-27,True,Pre vs Post Inauguration
206,0.8701863354037267,1.5624952060543334e-27,True,Pre vs Post Inauguration
207,0.8269151138716356,2.5740187221583175e-24,True,Pre vs Post Inauguration
208,0.8128364389233954,1.9804827355049364e-23,True,Pre vs Post Inauguration
209,0.7828157349896481,2.081004609427375e-21,True,Pre vs Post Inauguration
210,0.8265010351966874,2.8196108962239888e-24,True,Pre vs Post Inauguration
211,0.8416149068322981,1.9328246846895227e-25,True,Pre vs Post Inauguration
212,0.8853002070393374,2.611672729710031e-29,True,Pre vs Post Inauguration
213,0.8699792960662526,1.696843371877163e-27,True,Pre vs Post Inauguration
214,0.8556935817805383,2.1099619106959824e-26,True,Pre vs Post Inauguration
215,0.8710144927536232,3.0449731407896227e-28,True,Pre vs Post Inauguration
216,0.9134575569358178,3.369783317079472e-31,True,Pre vs Post Inauguration
217,0.8703933747412008,1.2979863739311527e-27,True,Pre vs Post Inauguration
218,0.9134575569358178,3.369783317079472e-31,True,Pre vs Post Inauguration
219,0.9279503105590062,1.3818702366597354e-32,True,Pre vs Post Inauguration
220,0.8991718426501035,5.586822480817603e-30,True,Pre vs Post Inauguration
221,0.8565217391304348,5.9458613161222845e-27,True,Pre vs Post Inauguration
222,0.870600414078675,9.33496260066648e-28,True,Pre vs Post Inauguration
223,0.8120082815734989,2.761690940880804e-23,True,Pre vs Post Inauguration
224,0.870600414078675,9.33496260066648e-28,True,Pre vs Post Inauguration
225,0.8418219461697722,1.4452219371759112e-25,True,Pre vs Post Inauguration
226,0.8701863354037267,1.5624952060543334e-27,True,Pre vs Post Inauguration
227,0.8701863354037267,1.5624952060543334e-27,True,Pre vs Post Inauguration
228,0.8703933747412008,1.2979863739311527e-27,True,Pre vs Post Inauguration
229,0.8853002070393374,2.611672729710031e-29,True,Pre vs Post Inauguration
230,0.8703933747412008,1.2979863739311527e-27,True,Pre vs Post Inauguration
231,0.8708074534161491,5.690061462021432e-28,True,Pre vs Post Inauguration
232,0.8703933747412008,1.2979863739311527e-27,True,Pre vs Post Inauguration
233,0.8269151138716356,2.5740187221583175e-24,True,Pre vs Post Inauguration
234,0.841407867494824,2.3117741307806233e-25,True,Pre vs Post Inauguration
235,0.8416149068322981,1.9328246846895227e-25,True,Pre vs Post Inauguration
236,0.8128364389233954,1.9804827355049364e-23,True,Pre vs Post Inauguration
237,0.8708074534161491,5.690061462021432e-28,True,Pre vs Post Inauguration
