bootstrap_iteration,delta,interpretation,comparison
250,-0.38442289646543637,Medium,Pre-Inauguration vs Entire Period
251,-0.4929621520175164,Large,Pre-Inauguration vs Entire Period
252,-0.35449900948806173,Medium,Pre-Inauguration vs Entire Period
253,-0.3830674590762173,Medium,Pre-Inauguration vs Entire Period
254,-0.5390470232509644,Large,Pre-Inauguration vs Entire Period
255,-0.48649775831508707,Large,Pre-Inauguration vs Entire Period
256,-0.3597122302158273,Medium,Pre-Inauguration vs Entire Period
257,-0.3458450630799708,Medium,Pre-Inauguration vs Entire Period
258,-0.4057971014492754,Medium,Pre-Inauguration vs Entire Period
259,-0.3678448545511417,Medium,Pre-Inauguration vs Entire Period
260,-0.4017307892816182,Medium,Pre-Inauguration vs Entire Period
261,-0.4599103326034824,Medium,Pre-Inauguration vs Entire Period
262,-0.45052653529350434,Medium,Pre-Inauguration vs Entire Period
263,-0.3535606297570639,Medium,Pre-Inauguration vs Entire Period
264,-0.4556354916067146,Medium,Pre-Inauguration vs Entire Period
265,-0.5393598164946304,Large,Pre-Inauguration vs Entire Period
266,-0.4673131060369096,Medium,Pre-Inauguration vs Entire Period
267,-0.3784798248357836,Medium,Pre-Inauguration vs Entire Period
268,-0.39641330413929726,Medium,Pre-Inauguration vs Entire Period
269,-0.36899176311125015,Medium,Pre-Inauguration vs Entire Period
270,-0.4775310186633302,Large,Pre-Inauguration vs Entire Period
271,-0.4148681055155875,Medium,Pre-Inauguration vs Entire Period
272,-0.5399854029819623,Large,Pre-Inauguration vs Entire Period
273,-0.5314357209884266,Large,Pre-Inauguration vs Entire Period
274,-0.39964550099051194,Medium,Pre-Inauguration vs Entire Period
275,-0.46908560108434993,Medium,Pre-Inauguration vs Entire Period
276,-0.3805651131268898,Medium,Pre-Inauguration vs Entire Period
277,-0.5840892503388594,Large,Pre-Inauguration vs Entire Period
278,-0.47805234073610675,Large,Pre-Inauguration vs Entire Period
279,-0.4685642790115733,Medium,Pre-Inauguration vs Entire Period
280,-0.4774267542487749,Large,Pre-Inauguration vs Entire Period
281,-0.5147534146595767,Large,Pre-Inauguration vs Entire Period
282,-0.5422792201021791,Large,Pre-Inauguration vs Entire Period
283,-0.41413825461370035,Medium,Pre-Inauguration vs Entire Period
284,-0.509852987175477,Large,Pre-Inauguration vs Entire Period
285,-0.44260243978730057,Medium,Pre-Inauguration vs Entire Period
286,-0.5196538421436764,Large,Pre-Inauguration vs Entire Period
287,-0.4577207798978209,Medium,Pre-Inauguration vs Entire Period
288,-0.4568866645813784,Medium,Pre-Inauguration vs Entire Period
289,-0.5088103430299239,Large,Pre-Inauguration vs Entire Period
290,-0.6371598373475132,Large,Pre-Inauguration vs Entire Period
291,-0.39849859243040353,Medium,Pre-Inauguration vs Entire Period
292,-0.4680429569387968,Medium,Pre-Inauguration vs Entire Period
293,-0.43363570013554376,Medium,Pre-Inauguration vs Entire Period
294,-0.338233760817433,Medium,Pre-Inauguration vs Entire Period
295,-0.3882806798039829,Medium,Pre-Inauguration vs Entire Period
296,-0.4381190699614222,Medium,Pre-Inauguration vs Entire Period
297,-0.3261390887290168,Small,Pre-Inauguration vs Entire Period
298,-0.547909498488166,Large,Pre-Inauguration vs Entire Period
299,-0.39443228026274635,Medium,Pre-Inauguration vs Entire Period
300,-0.4283182149932228,Medium,Pre-Inauguration vs Entire Period
301,-0.5000521322072776,Large,Pre-Inauguration vs Entire Period
302,-0.4094463559587113,Medium,Pre-Inauguration vs Entire Period
303,-0.44844124700239807,Medium,Pre-Inauguration vs Entire Period
304,-0.45813783755604215,Medium,Pre-Inauguration vs Entire Period
305,-0.37430924825357104,Medium,Pre-Inauguration vs Entire Period
306,-0.4845167344385361,Large,Pre-Inauguration vs Entire Period
307,-0.3527265144406214,Medium,Pre-Inauguration vs Entire Period
308,-0.5394640809091857,Large,Pre-Inauguration vs Entire Period
309,-0.4462516942967365,Medium,Pre-Inauguration vs Entire Period
310,-0.42091544155979566,Medium,Pre-Inauguration vs Entire Period
311,-0.41403399019914505,Medium,Pre-Inauguration vs Entire Period
312,-0.3608591387759358,Medium,Pre-Inauguration vs Entire Period
313,-0.3734751329371286,Medium,Pre-Inauguration vs Entire Period
314,-0.49661140652695235,Large,Pre-Inauguration vs Entire Period
315,-0.43457407986654156,Medium,Pre-Inauguration vs Entire Period
316,-0.43572098842664997,Medium,Pre-Inauguration vs Entire Period
317,-0.43874465644875404,Medium,Pre-Inauguration vs Entire Period
318,-0.3620060473360442,Medium,Pre-Inauguration vs Entire Period
319,-0.33938066937754147,Medium,Pre-Inauguration vs Entire Period
320,-0.5531227192159316,Large,Pre-Inauguration vs Entire Period
321,-0.4165363361484725,Medium,Pre-Inauguration vs Entire Period
322,-0.5510374309248254,Large,Pre-Inauguration vs Entire Period
323,-0.4655406109894693,Medium,Pre-Inauguration vs Entire Period
324,-0.5301845480137629,Large,Pre-Inauguration vs Entire Period
325,-0.5389427588364092,Large,Pre-Inauguration vs Entire Period
326,-0.4883745177770827,Large,Pre-Inauguration vs Entire Period
327,-0.42581586904389535,Medium,Pre-Inauguration vs Entire Period
328,-0.42571160462934,Medium,Pre-Inauguration vs Entire Period
329,-0.5192367844854551,Large,Pre-Inauguration vs Entire Period
330,-0.4146595766864769,Medium,Pre-Inauguration vs Entire Period
331,-0.3528307788551767,Medium,Pre-Inauguration vs Entire Period
332,-0.47888645605254926,Large,Pre-Inauguration vs Entire Period
333,-0.49567302679595454,Large,Pre-Inauguration vs Entire Period
334,-0.4283182149932228,Medium,Pre-Inauguration vs Entire Period
335,-0.37618600771556665,Medium,Pre-Inauguration vs Entire Period
336,-0.4559482848503806,Medium,Pre-Inauguration vs Entire Period
337,-0.3979772703576269,Medium,Pre-Inauguration vs Entire Period
338,-0.5196538421436764,Large,Pre-Inauguration vs Entire Period
339,-0.5041184443749348,Large,Pre-Inauguration vs Entire Period
340,-0.48462099885309146,Large,Pre-Inauguration vs Entire Period
341,-0.5468668543426128,Large,Pre-Inauguration vs Entire Period
342,-0.42206235011990406,Medium,Pre-Inauguration vs Entire Period
343,-0.3912000834115316,Medium,Pre-Inauguration vs Entire Period
344,-0.30528620581795435,Small,Pre-Inauguration vs Entire Period
345,-0.43874465644875404,Medium,Pre-Inauguration vs Entire Period
346,-0.44479199249296214,Medium,Pre-Inauguration vs Entire Period
347,-0.4732561776665624,Medium,Pre-Inauguration vs Entire Period
348,-0.4646022312584715,Medium,Pre-Inauguration vs Entire Period
349,-0.49546449796684394,Large,Pre-Inauguration vs Entire Period
350,-0.3539776874152852,Medium,Pre-Inauguration vs Entire Period
351,-0.45667813575226773,Medium,Pre-Inauguration vs Entire Period
352,-0.379626733395892,Medium,Pre-Inauguration vs Entire Period
353,-0.5139192993431342,Large,Pre-Inauguration vs Entire Period
354,-0.43968303617975185,Medium,Pre-Inauguration vs Entire Period
355,-0.43540819518298407,Medium,Pre-Inauguration vs Entire Period
356,-0.5139192993431342,Large,Pre-Inauguration vs Entire Period
357,-0.3866124491710979,Medium,Pre-Inauguration vs Entire Period
358,-0.37086852257324576,Medium,Pre-Inauguration vs Entire Period
359,-0.531539985402982,Large,Pre-Inauguration vs Entire Period
360,-0.4402043582525284,Medium,Pre-Inauguration vs Entire Period
361,-0.4757585236158899,Large,Pre-Inauguration vs Entire Period
362,-0.4870190803878636,Large,Pre-Inauguration vs Entire Period
363,-0.3771243874465645,Medium,Pre-Inauguration vs Entire Period
364,-0.6154728391200084,Large,Pre-Inauguration vs Entire Period
365,-0.4940047961630695,Large,Pre-Inauguration vs Entire Period
366,-0.5014075695964967,Large,Pre-Inauguration vs Entire Period
367,-0.4502137420498384,Medium,Pre-Inauguration vs Entire Period
368,-0.5408195182984048,Large,Pre-Inauguration vs Entire Period
369,-0.3346887707225524,Medium,Pre-Inauguration vs Entire Period
370,-0.5711604629340006,Large,Pre-Inauguration vs Entire Period
371,-0.47784381190699615,Large,Pre-Inauguration vs Entire Period
372,-0.31206339276404965,Small,Pre-Inauguration vs Entire Period
373,-0.47096236054634555,Medium,Pre-Inauguration vs Entire Period
374,-0.48993848399541234,Large,Pre-Inauguration vs Entire Period
375,-0.4708580961317902,Medium,Pre-Inauguration vs Entire Period
376,-0.37316233969346263,Medium,Pre-Inauguration vs Entire Period
377,-0.590345115212178,Large,Pre-Inauguration vs Entire Period
378,-0.3473047648837452,Medium,Pre-Inauguration vs Entire Period
379,-0.5123553331248045,Large,Pre-Inauguration vs Entire Period
380,-0.5322698363048691,Large,Pre-Inauguration vs Entire Period
381,-0.5711604629340006,Large,Pre-Inauguration vs Entire Period
382,-0.543217599833177,Large,Pre-Inauguration vs Entire Period
383,-0.5105828380773642,Large,Pre-Inauguration vs Entire Period
384,-0.47033677405901364,Medium,Pre-Inauguration vs Entire Period
385,-0.43238452716088,Medium,Pre-Inauguration vs Entire Period
