bootstrap_iteration,u_statistic,p_value,significant,comparison
291,6915.0,6.794906436316577e-07,True,Post-Inauguration vs Entire Period
292,7154.5,2.8945378581925025e-08,True,Post-Inauguration vs Entire Period
293,7043.0,1.3091228203978142e-07,True,Post-Inauguration vs Entire Period
294,7330.0,2.326950210996413e-09,True,Post-Inauguration vs Entire Period
295,7502.0,1.6610002334225554e-10,True,Post-Inauguration vs Entire Period
296,7335.5,2.1458784776644343e-09,True,Post-Inauguration vs Entire Period
297,7176.0,2.147591890118801e-08,True,Post-Inauguration vs Entire Period
298,7206.0,1.4078733466672446e-08,True,Post-Inauguration vs Entire Period
299,7178.5,2.070353702172101e-08,True,Post-Inauguration vs Entire Period
300,7517.0,1.3084704136894815e-10,True,Post-Inauguration vs Entire Period
301,7549.0,7.834653288433619e-11,True,Post-Inauguration vs Entire Period
302,7276.5,5.116501916127421e-09,True,Post-Inauguration vs Entire Period
303,7269.5,5.662681519985993e-09,True,Post-Inauguration vs Entire Period
304,7021.0,1.7493687342486182e-07,True,Post-Inauguration vs Entire Period
305,6879.5,1.0543822861405439e-06,True,Post-Inauguration vs Entire Period
306,7356.0,1.5792912866286604e-09,True,Post-Inauguration vs Entire Period
307,6559.5,4.030924806036725e-05,True,Post-Inauguration vs Entire Period
308,6802.5,2.6714947800488317e-06,True,Post-Inauguration vs Entire Period
309,6845.5,1.5957082289261497e-06,True,Post-Inauguration vs Entire Period
310,7142.0,3.439349320871621e-08,True,Post-Inauguration vs Entire Period
311,6822.5,2.1055591010816006e-06,True,Post-Inauguration vs Entire Period
312,6564.0,3.8482583663083415e-05,True,Post-Inauguration vs Entire Period
313,7287.5,4.355623846270495e-09,True,Post-Inauguration vs Entire Period
314,7304.0,3.4221427942754196e-09,True,Post-Inauguration vs Entire Period
315,7291.5,4.109193456134411e-09,True,Post-Inauguration vs Entire Period
316,7502.0,1.6601791915855748e-10,True,Post-Inauguration vs Entire Period
317,7505.5,1.570753591222562e-10,True,Post-Inauguration vs Entire Period
318,7307.5,3.250997390623919e-09,True,Post-Inauguration vs Entire Period
319,6946.5,4.570608709341769e-07,True,Post-Inauguration vs Entire Period
320,7217.0,1.2043018871963034e-08,True,Post-Inauguration vs Entire Period
321,7095.5,6.493077167364637e-08,True,Post-Inauguration vs Entire Period
322,7084.0,7.581053347148033e-08,True,Post-Inauguration vs Entire Period
323,7092.5,6.761358458001323e-08,True,Post-Inauguration vs Entire Period
324,6388.5,0.00022317734904887002,True,Post-Inauguration vs Entire Period
325,7413.5,6.600978171606148e-10,True,Post-Inauguration vs Entire Period
326,7145.5,3.279080054504501e-08,True,Post-Inauguration vs Entire Period
327,7381.5,1.0755990696320799e-09,True,Post-Inauguration vs Entire Period
328,6312.0,0.00045523177965341855,True,Post-Inauguration vs Entire Period
329,7683.5,8.514940261207879e-12,True,Post-Inauguration vs Entire Period
330,6869.5,1.19153676001079e-06,True,Post-Inauguration vs Entire Period
331,7114.5,5.0178070032293915e-08,True,Post-Inauguration vs Entire Period
332,7210.5,1.3196071550648524e-08,True,Post-Inauguration vs Entire Period
333,6909.0,7.319691564116015e-07,True,Post-Inauguration vs Entire Period
334,7175.5,2.1610486784602548e-08,True,Post-Inauguration vs Entire Period
335,7780.5,1.6089195326438107e-12,True,Post-Inauguration vs Entire Period
336,6776.0,3.651308506253751e-06,True,Post-Inauguration vs Entire Period
337,7164.5,2.519595011210589e-08,True,Post-Inauguration vs Entire Period
338,7044.5,1.2838806741647898e-07,True,Post-Inauguration vs Entire Period
339,7417.0,6.258016240488139e-10,True,Post-Inauguration vs Entire Period
340,6934.5,5.316899553676655e-07,True,Post-Inauguration vs Entire Period
341,7033.5,1.4852498749783207e-07,True,Post-Inauguration vs Entire Period
342,7220.0,1.1523691992607871e-08,True,Post-Inauguration vs Entire Period
343,7607.5,3.0183479551238884e-11,True,Post-Inauguration vs Entire Period
344,7374.0,1.2048519532418693e-09,True,Post-Inauguration vs Entire Period
345,6942.0,4.837245748246479e-07,True,Post-Inauguration vs Entire Period
346,7358.5,1.5213007750546296e-09,True,Post-Inauguration vs Entire Period
347,7479.0,2.389893457115003e-10,True,Post-Inauguration vs Entire Period
348,6862.5,1.298749405989117e-06,True,Post-Inauguration vs Entire Period
349,7022.5,1.7165389483085562e-07,True,Post-Inauguration vs Entire Period
350,6585.5,3.0650352956273854e-05,True,Post-Inauguration vs Entire Period
351,7327.5,2.415256621366869e-09,True,Post-Inauguration vs Entire Period
352,7012.0,1.9671916758726925e-07,True,Post-Inauguration vs Entire Period
353,7323.5,2.5650536119840445e-09,True,Post-Inauguration vs Entire Period
354,7464.5,2.992747301286889e-10,True,Post-Inauguration vs Entire Period
355,6390.5,0.00021894042397781587,True,Post-Inauguration vs Entire Period
356,7300.0,3.6286067452664347e-09,True,Post-Inauguration vs Entire Period
357,7180.0,2.02951220982808e-08,True,Post-Inauguration vs Entire Period
358,7480.5,2.3330304881386726e-10,True,Post-Inauguration vs Entire Period
359,6849.0,1.5298780915410025e-06,True,Post-Inauguration vs Entire Period
360,7170.0,2.3342023373830906e-08,True,Post-Inauguration vs Entire Period
361,6583.0,3.147214468191e-05,True,Post-Inauguration vs Entire Period
362,6970.0,3.387967170263858e-07,True,Post-Inauguration vs Entire Period
363,6638.0,1.7395257522466925e-05,True,Post-Inauguration vs Entire Period
364,7581.5,4.6228679143252636e-11,True,Post-Inauguration vs Entire Period
365,6702.5,8.499548065700372e-06,True,Post-Inauguration vs Entire Period
366,7068.0,9.391739455547066e-08,True,Post-Inauguration vs Entire Period
367,7023.0,1.704329140852914e-07,True,Post-Inauguration vs Entire Period
368,6903.0,7.890655115546195e-07,True,Post-Inauguration vs Entire Period
369,6789.5,3.1150454635639123e-06,True,Post-Inauguration vs Entire Period
370,7018.0,1.8193543288548705e-07,True,Post-Inauguration vs Entire Period
371,7237.0,9.048490280465152e-09,True,Post-Inauguration vs Entire Period
372,7091.5,6.850554859105747e-08,True,Post-Inauguration vs Entire Period
373,6510.0,6.729576982933187e-05,True,Post-Inauguration vs Entire Period
374,7420.0,5.972012706487548e-10,True,Post-Inauguration vs Entire Period
375,7158.5,2.737929482258047e-08,True,Post-Inauguration vs Entire Period
376,7193.5,1.6786173357546548e-08,True,Post-Inauguration vs Entire Period
377,7409.5,7.022177152996343e-10,True,Post-Inauguration vs Entire Period
378,7162.0,2.60718047967425e-08,True,Post-Inauguration vs Entire Period
379,7205.5,1.416867034497428e-08,True,Post-Inauguration vs Entire Period
380,7005.5,2.1427439758494509e-07,True,Post-Inauguration vs Entire Period
