bootstrap_iteration,delta,interpretation,comparison
247,0.5612538540596095,Large,Post-Inauguration vs Entire Period
248,0.4894141829393628,Large,Post-Inauguration vs Entire Period
249,0.44922918807810897,Medium,Post-Inauguration vs Entire Period
250,0.45724563206577595,Medium,Post-Inauguration vs Entire Period
251,0.518705035971223,Large,Post-Inauguration vs Entire Period
252,0.46659815005138744,Medium,Post-Inauguration vs Entire Period
253,0.44295991778006166,Medium,Post-Inauguration vs Entire Period
254,0.42168550873586846,Medium,Post-Inauguration vs Entire Period
255,0.34552929085303186,Medium,Post-Inauguration vs Entire Period
256,0.5683453237410072,Large,Post-Inauguration vs Entire Period
257,0.5198355601233299,Large,Post-Inauguration vs Entire Period
258,0.39547790339157246,Medium,Post-Inauguration vs Entire Period
259,0.40298047276464544,Medium,Post-Inauguration vs Entire Period
260,0.5082219938335046,Large,Post-Inauguration vs Entire Period
261,0.5136690647482014,Large,Post-Inauguration vs Entire Period
262,0.3725590955806783,Medium,Post-Inauguration vs Entire Period
263,0.48663926002055496,Large,Post-Inauguration vs Entire Period
264,0.42569373072970196,Medium,Post-Inauguration vs Entire Period
265,0.37954779033915725,Medium,Post-Inauguration vs Entire Period
266,0.45046248715313464,Medium,Post-Inauguration vs Entire Period
267,0.5124357656731757,Large,Post-Inauguration vs Entire Period
268,0.48633093525179855,Large,Post-Inauguration vs Entire Period
269,0.4226104830421377,Medium,Post-Inauguration vs Entire Period
270,0.5565262076053443,Large,Post-Inauguration vs Entire Period
271,0.4423432682425488,Medium,Post-Inauguration vs Entire Period
272,0.4975334018499486,Large,Post-Inauguration vs Entire Period
273,0.4010277492291881,Medium,Post-Inauguration vs Entire Period
274,0.5071942446043165,Large,Post-Inauguration vs Entire Period
275,0.4736896197327852,Medium,Post-Inauguration vs Entire Period
276,0.49671120246659817,Large,Post-Inauguration vs Entire Period
277,0.5717368961973278,Large,Post-Inauguration vs Entire Period
278,0.4142857142857143,Medium,Post-Inauguration vs Entire Period
279,0.5668036998972251,Large,Post-Inauguration vs Entire Period
280,0.405858170606372,Medium,Post-Inauguration vs Entire Period
281,0.5415210688591984,Large,Post-Inauguration vs Entire Period
282,0.575436793422405,Large,Post-Inauguration vs Entire Period
283,0.33360739979445014,Medium,Post-Inauguration vs Entire Period
284,0.4878725590955807,Large,Post-Inauguration vs Entire Period
285,0.3175745118191161,Small,Post-Inauguration vs Entire Period
286,0.4986639260020555,Large,Post-Inauguration vs Entire Period
287,0.34224049331963,Medium,Post-Inauguration vs Entire Period
288,0.4686536485097636,Medium,Post-Inauguration vs Entire Period
289,0.39671120246659813,Medium,Post-Inauguration vs Entire Period
290,0.6523124357656732,Large,Post-Inauguration vs Entire Period
291,0.42137718396711205,Medium,Post-Inauguration vs Entire Period
292,0.470606372045221,Medium,Post-Inauguration vs Entire Period
293,0.4476875642343268,Medium,Post-Inauguration vs Entire Period
294,0.5066803699897225,Large,Post-Inauguration vs Entire Period
295,0.5420349434737924,Large,Post-Inauguration vs Entire Period
296,0.5078108941418293,Large,Post-Inauguration vs Entire Period
297,0.4750256937307297,Large,Post-Inauguration vs Entire Period
298,0.48119218910585815,Large,Post-Inauguration vs Entire Period
299,0.47553956834532374,Large,Post-Inauguration vs Entire Period
300,0.5451181911613566,Large,Post-Inauguration vs Entire Period
301,0.5516957862281603,Large,Post-Inauguration vs Entire Period
302,0.4956834532374101,Large,Post-Inauguration vs Entire Period
303,0.49424460431654677,Large,Post-Inauguration vs Entire Period
304,0.44316546762589926,Medium,Post-Inauguration vs Entire Period
305,0.41408016443987666,Medium,Post-Inauguration vs Entire Period
306,0.5120246659815005,Large,Post-Inauguration vs Entire Period
307,0.3483042137718397,Medium,Post-Inauguration vs Entire Period
308,0.3982528263103803,Medium,Post-Inauguration vs Entire Period
309,0.40709146968139776,Medium,Post-Inauguration vs Entire Period
310,0.46803699897225076,Medium,Post-Inauguration vs Entire Period
311,0.4023638232271326,Medium,Post-Inauguration vs Entire Period
312,0.34922918807810893,Medium,Post-Inauguration vs Entire Period
313,0.49794450154162384,Large,Post-Inauguration vs Entire Period
314,0.5013360739979446,Large,Post-Inauguration vs Entire Period
315,0.4987667009249743,Large,Post-Inauguration vs Entire Period
316,0.5420349434737924,Large,Post-Inauguration vs Entire Period
317,0.542754367934224,Large,Post-Inauguration vs Entire Period
318,0.5020554984583762,Large,Post-Inauguration vs Entire Period
319,0.42785200411099694,Medium,Post-Inauguration vs Entire Period
