bootstrap_iteration,delta,interpretation,comparison
444,-0.9118012422360249,Large,Pre vs Post Inauguration
445,-0.891511387163561,Large,Pre vs Post Inauguration
446,-0.9552795031055901,Large,Pre vs Post Inauguration
447,-0.9372670807453416,Large,Pre vs Post Inauguration
448,-0.9356107660455486,Large,Pre vs Post Inauguration
449,-0.8927536231884058,Large,Pre vs Post Inauguration
450,-0.8944099378881988,Large,Pre vs Post Inauguration
451,-0.8699792960662526,Large,Pre vs Post Inauguration
452,-0.9380952380952381,Large,Pre vs Post Inauguration
453,-0.9217391304347826,Large,Pre vs Post Inauguration
454,-0.90351966873706,Large,Pre vs Post Inauguration
455,-0.9565217391304348,Large,Pre vs Post Inauguration
456,-0.8631469979296066,Large,Pre vs Post Inauguration
457,-0.9602484472049689,Large,Pre vs Post Inauguration
458,-0.9325051759834369,Large,Pre vs Post Inauguration
459,-0.9370600414078675,Large,Pre vs Post Inauguration
460,-0.9393374741200828,Large,Pre vs Post Inauguration
461,-0.9347826086956522,Large,Pre vs Post Inauguration
462,-0.9219461697722567,Large,Pre vs Post Inauguration
463,-0.9209109730848861,Large,Pre vs Post Inauguration
464,-0.8575569358178053,Large,Pre vs Post Inauguration
465,-0.9370600414078675,Large,Pre vs Post Inauguration
466,-0.9540372670807453,Large,Pre vs Post Inauguration
467,-0.8902691511387164,Large,Pre vs Post Inauguration
468,-0.9469979296066252,Large,Pre vs Post Inauguration
469,-0.8977225672877847,Large,Pre vs Post Inauguration
470,-0.9457556935817806,Large,Pre vs Post Inauguration
471,-0.9184265010351967,Large,Pre vs Post Inauguration
472,-0.915527950310559,Large,Pre vs Post Inauguration
473,-0.949896480331263,Large,Pre vs Post Inauguration
474,-0.9031055900621118,Large,Pre vs Post Inauguration
475,-0.9440993788819876,Large,Pre vs Post Inauguration
476,-0.9271221532091097,Large,Pre vs Post Inauguration
477,-0.9469979296066252,Large,Pre vs Post Inauguration
478,-0.9368530020703933,Large,Pre vs Post Inauguration
479,-0.9134575569358178,Large,Pre vs Post Inauguration
480,-0.9084886128364389,Large,Pre vs Post Inauguration
481,-0.94824016563147,Large,Pre vs Post Inauguration
482,-0.968944099378882,Large,Pre vs Post Inauguration
483,-0.913871635610766,Large,Pre vs Post Inauguration
484,-0.9285714285714286,Large,Pre vs Post Inauguration
485,-0.9693581780538302,Large,Pre vs Post Inauguration
486,-0.8859213250517598,Large,Pre vs Post Inauguration
487,-0.8530020703933747,Large,Pre vs Post Inauguration
488,-0.9728778467908903,Large,Pre vs Post Inauguration
489,-0.9436853002070393,Large,Pre vs Post Inauguration
490,-0.9225672877846791,Large,Pre vs Post Inauguration
491,-0.936231884057971,Large,Pre vs Post Inauguration
492,-0.8894409937888199,Large,Pre vs Post Inauguration
493,-0.9093167701863354,Large,Pre vs Post Inauguration
494,-0.8370600414078675,Large,Pre vs Post Inauguration
495,-0.9416149068322981,Large,Pre vs Post Inauguration
496,-0.8766045548654244,Large,Pre vs Post Inauguration
497,-0.9002070393374741,Large,Pre vs Post Inauguration
